word,count
close,4
free,3
back,3
worst,3
following,3
better,3
level,3
high,3
need,3
worse,3
wrong,3
fish,2
cool,2
hate,2
fear,2
fit,2
hand,2
feature,2
hire,2
dynamic,2
fix,2
current,2
his,2
chart,2
benefit,2
academic,2
alternative,2
extra,2
except,2
extract,2
best,2
burn,2
cheap,2
between,2
feed,2
check,2
extreme,2
have,2
divide,2
cut,2
bill,2
amount,2
but,2
account,2
feel,2
good,2
it,2
by,2
host,2
equal,2
comment,2
daily,2
face,2
flat,2
document,2
fuel,2
direct,2
acid,2
ideal,2
head,2
intellectual,2
hook,2
fun,2
act,2
dark,2
can,2
function,2
count,2
counter,2
deposit,2
average,2
date,2
award,2
empty,2
any,2
hope,2
blow,2
hunt,2
board,2
hold,2
address,2
grade,2
deal,2
exit,2
dear,2
cover,2
double,2
figure,2
file,2
desert,2
book,2
craft,2
fall,2
downstairs,2
key,2
border,2
cream,2
adult,2
film,2
clear,2
just,2
kind,2
complex,2
final,2
bar,2
content,2
discount,2
house,2
climb,2
home,2
experience,2
credit,2
fly,2
experiment,2
catch,2
after,2
even,2
criminal,2
half,2
detail,2
bat,2
age,2
far,2
arm,2
further,2
farm,2
battle,2
deep,2
fine,2
drive,2
coach,2
fold,2
driving,2
bear,2
drop,2
beat,2
finish,2
fire,2
centre,2
hurt,2
future,2
issue,2
as,2
alarm,2
fat,2
cry,2
before,2
chain,2
alien,2
chair,2
forward,2
challenge,2
first,2
all,2
knock,2
land,2
last,2
later,2
latest,2
lead,2
leave,2
lie,2
light,2
like,2
line,2
little,2
live,2
local,2
look,2
low,2
make,2
map,2
march,2
market,2
material,2
may,2
medium,2
mention,2
mine,2
minute,2
mistake,2
model,2
move,2
musical,2
narrow,2
national,2
go,2
negative,2
neither,2
net,2
next,2
normal,2
note,2
novel,2
now,2
number,2
object,2
official,2
once,2
original,2
outside,2
own,2
pack,2
package,2
pass,2
past,2
patient,2
pay,2
photograph,2
pick,2
picture,2
place,2
plant,2
please,2
plot,2
plus,2
point,2
pop,2
position,2
positive,2
power,2
present,2
price,2
principal,2
print,2
process,2
produce,2
professional,2
program,2
progress,2
project,2
pull,2
push,2
question,2
range,2
rate,2
reach,2
repair,2
repeat,2
report,2
request,2
result,2
ride,2
rise,2
rock,2
round,2
routine,2
rule,2
run,2
sail,2
sample,2
say,2
schedule,2
screen,2
seat,2
second,2
sense,2
sentence,2
separate,2
shake,2
shape,2
share,2
shift,2
ship,2
shoot,2
since,2
sleep,2
slow,2
sort,2
sound,2
spare,2
speed,2
spell,2
spot,2
spread,2
spring,2
stage,2
stand,2
star,2
start,2
state,2
stay,2
step,2
still,2
store,2
structure,2
stuff,2
subject,2
suit,2
sure,2
survey,2
swim,2
switch,2
tackle,2
talk,2
target,2
term,2
terminal,2
text,2
that,2
third,2
this,2
time,2
tip,2
title,2
top,2
total,2
touch,2
tour,2
trace,2
track,2
train,2
transport,2
trigger,2
trip,2
trouble,2
try,2
type,2
upstairs,2
use,2
value,2
very,2
view,2
wait,2
warm,2
wash,2
water,2
wave,2
way,2
welcome,2
well,2
whatever,2
while,2
whole,2
will,2
win,2
wind,2
worry,2
cook,2
worth,2
favour,2
yet,2
young,2
